basketball,bb,1,Mr M,Gym,Gym,8,3|4
basketball,bb,2,Mr M,Gym,Gym,8,3|4
basketball,bb,3,Mr M,Gym,Gym,8,2|1
basketball,bb,4,Mr M,Gym,Gym,8,2|1
football,fb,1,Mr B,Field 2,Gym,8,2|1
football,fb,2,Mr B,Field 2,Gym,8,2|1
football,fb,3,Mr B,Field 2,Gym,8,3|4
football,fb,4,Mr B,Field 2,Gym,8,3|4
soccer,soccer,1,Mr A,Field 3,MP,10,2|1
soccer,soccer,2,Mr A,Field 3,MP,10,2|1
soccer,soccer,3,Mr A,Field 3,MP,10,3|4
soccer,soccer,4,Mr A,Field 3,MP,10,3|4
capture the flag,flag,1,Mr Z,Field 4,MP,5,
capture the flag,flag,2,Mr Z,Field 4,MP,10,
capture the flag,flag,3,Mr Z,Field 4,MP,10,
capture the flag,flag,4,Mr Z,Field 4,MP,10,
water rockets,rock,1,Mr Scher,PG1,Office,15,
water rockets,rock,2,Mr Scher,PG1,Office,15,
water rockets,rock,3,Mr Scher,PG1,Office,15,
water rockets,rock,4,Mr Scher,PG1,Office,15,
pizza making,pizza,1,Mrs K,Kitchen,Kitchen,12,
pizza making,pizza,2,Mrs K,Kitchen,Kitchen,12,
pizza making,pizza,3,Mrs K,Kitchen,Kitchen,12,
pizza making,pizza,4,Mrs K,Kitchen,Kitchen,12,
hockey,hockey,2,Mrs R,Gym,Gym,12,
hockey,hockey,4,Mrs R,Gym,Gym,12,
tyedye,tyedye,1,Mrs S,Hall,Hall,10,
tyedye,tyedye,2,Mrs S,Hall,Hall,10,
